Gejala,Penyakit
"feses cair, feses keluar terus menerus, feses berdarah, sulit menahan buang air besar, dehidrasi, nyeri perut, mual muntah, demam, pusing, nafsu makan turun, perut mulas, buang air besar lebih dari tiga kali sehari",Diare
"sensasi dada terbakar, mulut terasa asam atau pahit, mual muntah, nyeri dada, nyeri ulu hati, berasa angin di dada, bau mulut, batuk tanpa dahak, sulit menelan, sensasi seperti ada yang mengganjal di tenggorokan",GERD
"nyeri ulu hati, perut kembung, mual muntah, muntah darah, sering bersendawa, rasa asam di mulut, cepat merasa kenyang saat makan",Maag
"feses keras, feses kering, feses berdarah, jarang buang air besar, sulit buang air besar, nyeri perut, perut terasa sesak dan penuh",Konstipasi
"anus gatal, anus nyeri, feses berdarah, nyeri saat mengejan, benjolan di sekitar anus, sakit perut setelah buang air besar",Ambeien
"nyeri ulu hati, selera makan berubah, sensasi dada terbakar, mual muntah, muntah darah, perut kembung, sering bersendawa, nyeri perut, nafsu makan turun, lemas, sulit menarik napas",Tukak lambung
"nyeri ulu hati, nyeri perut kanan bawah, sulit kentut, diare, sembelit, demam, perut kembung, nafsu makan turun",Usus Buntu
"demam berkepanjangan, sembelit, diare, nyeri perut, nyeri sendi dan otot, nafsu makan turun, mual muntah, pusing, lemas, perut kembung, feses berwarna kehijauan",Tipes
"diare berair, diare berdarah, kram perut, mual muntah, demam, nafsu makan turun",Disentri
"mual muntah, demam, mudah lelah, feses pucat, urine gelap, nyeri perut, nyeri sendi, berat badan turun, nafsu makan turun, mata bagian putih menguning, kulit kuning, diare",Hepatitis
"nyeri perut, nyeri perut kanan atas, demam, mual muntah, mata bagian putih menguning, kulit kuning, urine gelap, tinja pucat, nafsu makan turun, kulit gatal",Batu Empedu
"kentut berlebihan, perut kembung, tekstur feses tidak menentu, feses berlendir, nyeri perut, feses berair, sembelit, sakit perut setelah buang air besar, sulit menahan buang air besar, sensasi dada terbakar, nafsu makan turun",Irritable Bowel Syndrome (IBS)
"berat badan turun drastis, nyeri perut, perut kembung, feses berdarah, nafsu makan turun, demam, mudah lelah, anus berdarah",Inflammatory Bowel Disease (IBD)
"diare, nyeri perut, mual muntah, perut begah, perut kembung, sembelit, nafsu makan turun, feses pucat, feses berbau tidak enak, feses berminyak",Celiac
