Gejala,Penyakit
"""['perut kembung', 'tinja encer', 'BAB lebih dari 3 kali dalam sehari', 'lemas', 'pusing', 'jarang kencing', 'feses cair', 'feses keluar terus-menerus', 'BAB berkali-kali', 'sering buang air besar', 'feses berdarah', 'sulit menahan buang air besar', 'dehidrasi']""",Diare
"""['sensasi dada terbakar', 'heartburn', 'mulut terasa asam atau pahit', 'mual muntah', 'nyeri dada', 'nyeri ulu hati', 'perut kembung', 'berasa angin di dada', 'perut terasa begah', 'pusing', 'kliyengan', 'jantung berdebar', 'rasa panas pada tenggorokan', 'sulit menelan', 'batuk', 'gejala memburuk di malam hari', 'gejala muncul setelah makan', 'bau mulut', 'lidah putih', 'sakit kepala', 'gejala terasa memburuk ketika berbaring atau membungkuk', 'sakit tenggorokan', 'lemas']""",GERD
"""['nyeri ulu hati', 'perut kembung', 'mual muntah', 'nyeri di perut bagian atas', 'perut terasa penuh ketika makan', 'perut terasa begah setelah makan', 'sering bersendawa atau sendawa', 'sering kentut']""",Maag
"""['feses atau tinja keras', 'feses atau tinja kering', 'tinja berdarah', 'jarang buang air besar', 'sulit buang air besar', 'nyeri perut', 'perut terasa sesak dan penuh']""",Konstipasi
"""['anus gatal', 'anus nyeri', 'feses berdarah', 'nyeri saat mengejan', 'benjolan atau bengkak di sekitar atau dekat anus']""",Ambeien
"""['nyeri ulu hati', 'selera makan berubah', 'sensasi dada terbakar', 'perut kembung', ' tidak nafsu makan', 'lemas', 'sesak napas', ' sering sendawa atau bersendawa', 'mual muntah', 'muntah darah', 'gejala maag yang hilang timbul selama beberapa hari', 'gejala hilang timbul selama beberapa minggu', 'gejala memburuk saat makan', 'gejala makin parah saat perut kosong atau belum makan']""",Tukak lambung
"""['nyeri perut kanan bawah', 'sulit kentut', 'sulit sendawa atau bersendawa', 'diare', 'sembelit', 'demam', 'meriang', 'diare', 'mual muntah', 'nyeri tengah perut atau ulu hati yang hilang timbul', 'nyeri meningkat atau semakin parah saat berjalan', 'nyeri meningkat ketika perut kanan bawah ditekan']""",Usus Buntu
"""['demam berkepanjangan', 'sembelit', 'diare', 'nyeri perut', 'nyeri sendi dan otot', 'hilang selera makan', 'mual muntah', 'pusing', 'mudah lelah', 'keringat berlebih atau banyak berkeringat', 'dehidrasi', 'demam tinggi', 'nyeri atau sakit kepala', 'batuk kering', 'menggigil', 'lemas', 'feses atau tinja berwarna hijau']""",Tipes
"""['diare berair atau lendir', 'diare berdarah', 'kram perut', 'mual muntah', 'demam']""",Disentri
"""['mual muntah', 'demam', 'mudah lelah', 'feses pucat', 'urine gelap', 'nyeri perut', 'nyeri sendi', 'berat badan turun', 'nafsu makan turun', 'mata kuning', 'kulit kuning', 'flu', 'lemas']""",Hepatitis
"""['nyeri di tengah perut', 'nyeri di bawah tulang dada', 'nyeri perut kanan atas', 'demam', 'mual muntah', 'penyakit kuning', 'mata kuning', 'kulit kuning', 'urine gelap', 'tinja pucat', 'nafsu makan turun', 'kulit gatal']""",Batu Empedu
"""['kentut berlebihan', 'sering kentut', 'perut kembung', 'tekstur feses atau tinja tidak menentu', 'feses berlendir', 'nyeri perut', 'feses berair', 'sembelit', 'sakit perut setelah buang air besar', 'sulit menahan buang air besar', 'diare', 'gejala hilang timbul', 'kram perut']""",Irritable Bowel Syndrome (IBS)
"""['berat badan turun drastis', 'nyeri perut', 'perut kembung atau begah', 'feses berdarah atau berlendir', 'nafsu makan turun', 'demam', 'mudah lelah', 'anus berdarah', 'diare disertai darah']""",Inflammatory Bowel Disease (IBD)
"""['diare', 'sakit perut', 'mual muntah', 'perut begah', 'perut kembung', 'sembelit', 'nafsu makan turun', 'feses pucat', 'feses atau tinja berbau busuk', 'feses berminyak', 'mudah lelah', 'pusing', 'anemia', 'nyeri sendi', 'mati rasa pada kaki dan tangan', 'ruam kulit', 'kejang', 'kerusakan gigi']""",Celiac
