Gejala,Penyakit,Label
"mual muntah, diare berdarah, kram perut, demam",Disentri,0
"meriang, nyeri meningkat ketika perut kanan bawah ditekan, sulit sendawa atau bersendawa, nyeri tengah perut atau ulu hati yang hilang timbul, sulit kentut, nyeri perut kanan bawah",Usus Buntu,1
"nyeri sendi dan otot, nyeri atau sakit kepala, demam berkepanjangan, batuk kering, lemas, demam tinggi, hilang selera makan, nyeri perut",Tipes,2
"diare, demam, nyeri meningkat atau semakin parah saat berjalan, sembelit, nyeri perut kanan bawah, diare, nyeri meningkat ketika perut kanan bawah ditekan, sulit kentut",Usus Buntu,1
"berat badan turun drastis, nafsu makan turun, demam, anus berdarah, nyeri perut",Inflammatory Bowel Disease (IBD),3
"nyeri di bawah tulang dada, mual muntah, nyeri perut kanan atas",Batu Empedu,4
"nyeri saat mengejan, benjolan atau bengkak di sekitar atau dekat anus, anus nyeri, feses berdarah",Ambeien,5
"demam tinggi, mual muntah, batuk kering, mudah lelah, dehidrasi, nyeri perut, nyeri atau sakit kepala",Tipes,2
"jarang buang air besar, feses atau tinja kering, nyeri perut, sulit buang air besar, tinja berdarah, feses atau tinja keras",Konstipasi,6
"gejala memburuk saat makan, mual muntah, nyeri ulu hati, gejala makin parah saat perut kosong atau belum makan, lemas",Tukak lambung,7
"kram perut, mual muntah, diare berair atau lendir, diare berdarah",Disentri,0
"mual muntah, nafsu makan turun, lemas, kulit kuning, urine gelap, nyeri perut",Hepatitis,8
"mata kuning, berat badan turun, nyeri sendi, lemas, nyeri perut, flu, kulit kuning, mudah lelah",Hepatitis,8
"mual muntah, kulit gatal, nafsu makan turun",Batu Empedu,4
"nyeri tengah perut atau ulu hati yang hilang timbul, sembelit, sulit sendawa atau bersendawa, nyeri perut kanan bawah",Usus Buntu,1
"sering bersendawa atau sendawa, perut terasa begah setelah makan, nyeri ulu hati, mual muntah, nyeri di perut bagian atas, perut kembung, perut terasa penuh ketika makan",Maag,9
"kejang, feses pucat, ruam kulit, perut begah, pusing, diare, perut kembung, kerusakan gigi",Celiac,10
"diare, sembelit, sulit kentut, nyeri perut kanan bawah, nyeri meningkat atau semakin parah saat berjalan",Usus Buntu,1
"gejala makin parah saat perut kosong atau belum makan, lemas,  tidak nafsu makan, sensasi dada terbakar, sesak napas, gejala memburuk saat makan, muntah darah",Tukak lambung,7
"demam, nyeri tengah perut atau ulu hati yang hilang timbul, diare, nyeri perut kanan bawah, mual muntah, meriang",Usus Buntu,1
"heartburn, perut terasa begah, gejala muncul setelah makan, batuk",GERD,11
"feses atau tinja kering, nyeri perut, tinja berdarah, perut terasa sesak dan penuh, sulit buang air besar, jarang buang air besar",Konstipasi,6
"jarang buang air besar, perut terasa sesak dan penuh, nyeri perut, feses atau tinja kering, feses atau tinja keras, tinja berdarah",Konstipasi,6
"diare berair atau lendir, diare berdarah, mual muntah, kram perut",Disentri,0
"mudah lelah, feses berminyak, nyeri sendi, mati rasa pada kaki dan tangan, perut begah, mual muntah",Celiac,10
"sulit kentut, meriang, diare, mual muntah, sulit sendawa atau bersendawa",Usus Buntu,1
"kram perut, mual muntah, demam, diare berair atau lendir",Disentri,0
"sulit menahan buang air besar, tekstur feses atau tinja tidak menentu, gejala hilang timbul, diare, sering kentut",Irritable Bowel Syndrome (IBS),12
"feses berdarah, lemas, perut kembung, tinja encer, pusing, feses cair",Diare,13
"demam tinggi, mual muntah, batuk kering",Tipes,2
"anus nyeri, anus gatal, benjolan atau bengkak di sekitar atau dekat anus, feses berdarah",Ambeien,5
"kulit gatal, kulit kuning, urine gelap",Batu Empedu,4
"hilang selera makan, menggigil, nyeri atau sakit kepala, nyeri perut",Tipes,2
"diare berair atau lendir, kram perut, diare berdarah, demam",Disentri,0
"BAB berkali-kali, tinja encer, perut kembung, feses keluar terus-menerus, dehidrasi, lemas",Diare,13
"feses cair, BAB lebih dari 3 kali dalam sehari, sering buang air besar, pusing",Diare,13
"berat badan turun drastis, feses berdarah atau berlendir, anus berdarah, nyeri perut, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"nyeri meningkat ketika perut kanan bawah ditekan, sembelit, sulit kentut, sulit sendawa atau bersendawa, nyeri meningkat atau semakin parah saat berjalan, mual muntah",Usus Buntu,1
"urine gelap, tinja pucat, penyakit kuning, mual muntah, demam, nyeri di tengah perut, nyeri perut kanan atas, nafsu makan turun",Batu Empedu,4
"gejala makin parah saat perut kosong atau belum makan, mual muntah, sensasi dada terbakar",Tukak lambung,7
"kram perut, sering kentut, feses berlendir",Irritable Bowel Syndrome (IBS),12
"nyeri perut, feses atau tinja berwarna hijau, diare, mudah lelah, mual muntah, pusing, sembelit",Tipes,2
